"","x"
"3132",2144308.03014548
"3133",1807755.6969043
"3134",13146964.8090767
"3135",1652630.07229345
"3136",4886343.42184114
"3137",45614144.3750328
"3138",1811799.13687753
"3139",13162186.2402203
"3140",52628340.42646
"3141",8402681.08808661
"3142",855622.122109236
"3143",84987678.5392479
"3144",8417014.11795608
"3145",19283057.2544825
"3146",870568.790937394
"3147",8450538.70036308
"3148",3075604.71646917
"3149",16750558.4664824
"3150",67093996.1592287
"3151",3095991.08112861
"3152",2224593.94460092
"3153",1707318.05836828
"3154",5913584.49094324
"3155",9195199.14053111
"3156",4424954.45704553
"3157",12892529.3119633
"3158",98026415.743025
"3159",4537968.32502334
"3160",7645257.85956835
"3161",528214.172088927
"3162",3125540.96171228
"3163",32529248.7738071
"3164",1118149.67915501
"3165",163881.239547405
"3166",149364.174034915
"3167",36717442.5047395
"3168",786755.462210122
"3169",15934597.0666633
"3170",4476065.88249492
"3171",55067423.0561578
"3172",31692699.5228632
"3173",603050.99082532
"3174",784196.229138055
"3175",5104218.18886474
"3176",6140149.83208268
"3177",66904625.9213569
"3178",1144540.24173163
"3179",4137762.64550325
"3180",954338.037008389
"3181",951956.622989335
"3182",103644949.458809
"3183",18006663.3820303
"3184",23171397.2809586
"3185",40158511.4109887
"3186",62325743.2139727
"3187",2994759.10915063
"3188",2070813.48488534
"3189",36898690.3260012
"3190",16173299.9209713
"3191",6227590.45295651
"3192",2170211.93012627
"3193",154516542.288783
"3194",68568021.5301889
"3195",343347.878922534
"3196",5427530.26376021
"3197",15184197.965976
"3198",157255044.020311
"3199",197500617.017312
"3200",2479250.22128108
"3201",5320893.78107631
"3202",2146063.52197085
"3203",416149.524573772
"3204",1449713.53166533
"3205",776248.530619065
"3206",14924091.5917391
"3207",29824453.1975707
"3208",1428935.8496614
"3209",1351885.66151059
"3210",421369745.607497
"3211",208667.666054209
"3212",32779434.5132179
"3213",22583573.5038757
"3214",4490054.63001515
"3215",944905.612892466
"3216",1806340.88817367
"3217",296154814.181638
"3218",2181960.17929404
"3219",868662.21130972
"3220",88898607.26632
"3221",4222468.54361168
"3222",429920.297889797
"3223",15245223.172726
"3224",828.590353686213
"3225",6590372.15690379
"3226",4907233.9941666
"3227",45011838.2379546
"3228",134114987.02376
"3229",101400890.123665
"3230",16443497.8446841
"3231",14449730.2554416
"3232",10475996.060089
"3233",2328269.61343776
"3234",2674752.93791231
"3235",15491520.7291689
"3236",696624.849892205
"3237",4267227.27948178
"3238",1632151.70014961
"3239",332916.655468393
"3240",346008482.207497
"3241",565627.960538654
"3242",2581199.65377265
"3243",1049035.19961544
"3244",74813.364555544
"3245",2831910.16419543
"3246",15425965.2600514
"3247",11754959.5160908
"3248",50083966.6641503
"3249",20580478.3817924
"3250",227942842.004511
"3251",1165352.37064151
"3252",10525789.0961427
"3253",34787698.7282483
"3254",1502833.45469535
"3255",113468.778257942
"3256",6734882.36850328
"3257",4764903.86086855
"3258",10532524.4097384
"3259",7521521.05421715
"3260",1689492.30239127
"3261",368233324.769949
"3262",16859894.0611817
"3263",284080.735701446
"3264",164917.984994665
"3265",79870.519440298
"3266",266618.66415729
"3267",13226253.9068098
"3268",188134.566876454
"3269",26548124.4710761
"3270",84361721.0148413
"3271",538889.478846813
"3272",12962096.1968805
"3273",1658498.64087305
"3274",321285186.11818
"3275",8000009.24433008
"3276",1853004.66564886
"3277",2586182.63136295
"3278",32234774.3936619
"3279",15231948.0613653
"3280",167960565.701665
"3281",430607.885043286
"3282",2723280.85498757
"3283",283366290.572871
"3284",26738645.5169392
"3285",55061332.1251854
"3286",598090.432777263
"3287",7327098.35962078
"3288",3643276.04904439
"3289",7696117.62671656
"3290",57586242.3400841
"3291",16146027.6980715
"3292",206975934.09879
"3293",16702563.4557921
"3294",1996805.71243901
"3295",4561730.00169258
"3296",253162.674016654
"3297",874956.217085902
"3298",27115090.8789989
"3299",1338207.29308831
"3300",20781308.4034832
"3301",247124.80148799
"3302",3121215.65595481
"3303",3588433.9308955
"3304",8218201.87450359
"3305",27288165.8223624
"3306",439064.71452913
"3307",19455238.7959359
"3308",10627373.4843108
"3309",586636.703676093
"3310",1487542.73016085
"3311",4407084.08961408
"3312",1823890.59522823
"3313",20922463.2173345
"3314",12271998.8413551
"3315",62470481.374697
"3316",3246393.12787935
"3317",730270.178821494
"3318",239934.476461722
"3319",3749011.75467253
"3320",7513111.45723364
"3321",3594538.81373005
"3322",3825317.3211656
"3323",104669512.269361
"3324",1401497.11609815
"3325",62522287.4499798
"3326",207520404.683123
"3327",47093311.7737085
"3328",11531610.2786232
"3329",5273759.70622902
"3330",92799637.8875669
"3331",1256267.63553855
"3332",43509477.2694391
"3333",135259127.928003
"3334",2725684.37954986
"3335",33998718.9646555
"3336",6631787.5531258
"3337",65128.887294107
"3338",10633872.6222151
"3339",1349027.55336081
"3340",74249993.1117888
"3341",7612942.46533594
"3342",25505651.6388552
"3343",44528653.28668
"3344",281430.620862318
"3345",6169203.64721549
"3346",13921964.9777187
"3347",123897.21788965
"3348",17758691.1137983
"3349",85323426.0923992
"3350",235322606.456012
"3351",20995288.3953314
"3352",962329.848956302
"3353",47259853.4353226
"3354",4158397.65904285
"3355",2979588.09099473
"3356",3632352.39826219
"3357",939776.959114887
"3358",5936731.68840916
"3359",18530647.4838354
"3360",15145540.9072392
"3361",55606581.5834936
"3362",5565584.97161067
"3363",3086407.17670322
"3364",10198839.2065396
"3365",1013057.24748456
"3366",42119683.9514307
"3367",92670293.1670378
"3368",549799.198095768
"3369",9302752.80333268
"3370",32389372.0599569
"3371",37427545.9671159
"3372",17377714.5164671
"3373",31727337.4963596
"3374",10799663.8831957
"3375",34665611.1593351
"3376",14155989.8589706
"3377",3129946.21508427
"3378",4995836.01243606
"3379",142332766.579753
"3380",36845159.9789581
"3381",687362.504011529
"3382",950538.000756244
"3383",1416609.23059002
"3384",26829016.0801971
"3385",56479840.8819778
"3386",411771.186088511
"3387",1750186.53628367
"3388",61841225.4092305
"3389",917428443.533081
"3390",2841746.54822647
"3391",4174868.2798521
"3392",4252964.70726189
"3393",495524.014303743
"3394",51799240.6904839
"3395",81692598.3864567
"3396",2231826.10439386
"3397",229145.336252813
"3398",199346636.349516
"3399",52556306.7317347
"3400",5166305.28340479
"3401",802871.126737199
"3402",1271284.69375548
"3403",30878483.9315457
"3404",14831837.3973278
"3405",3675634.28411726
"3406",123400456.880111
"3407",163566183.936009
"3408",11453607.0265341
"3409",262650.908857204
"3410",31143539.9747655
"3411",42967299.5995802
"3412",12693451.6354436
"3413",13810707.7629029
"3414",1001669.59108384
"3415",7681007.31463247
"3416",35136299.7043129
"3417",51482733.6650496
"3418",19086971.5267945
"3419",241916876.75171
"3420",952832.144945199
"3421",4536683.29855231
"3422",817711.151590188
"3423",345629251.669458
"3424",968116.927996916
"3425",1303924.92074989
"3426",14332546.8902259
"3427",10029996.0970674
"3428",2286274.42752395
"3429",9211232.80039804
"3430",360687411.973579
"3431",759552.242646934
"3432",1856452.23484058
"3433",4929358.71467402
"3434",4461332.51456719
"3435",230358532.915655
"3436",96248254.0866866
"3437",2552607.25309727
"3438",7983137.34798438
"3439",32779246.3606594
"3440",38594212.3845555
"3441",25901486.407729
"3442",1660334.52034514
"3443",1707178.81356295
"3444",1440980.70461843
"3445",43983675.5719472
"3446",1328363.68673905
"3447",3173773.71010668
"3448",13382141.442679
"3449",8895628.24022465
"3450",52310226.3732478
"3451",10825608.1665518
"3452",6194279.40468776
"3453",10847218.6574759
"3454",14874208.3971672
"3455",5189097.32015986
"3456",104910022.754852
"3457",14279194.1213662
"3458",11229180.6282943
"3459",548125973.752917
"3460",6068860.80517052
"3461",3316066.91346375
"3462",2914219.69146762
"3463",24448901.2962138
"3464",187991.0698832
"3465",15300114.3415161
"3466",4606948.43065708
"3467",4364897.75181879
"3468",38314321.5298677
"3469",1511019.46494333
"3470",121934.45660329
"3471",30095260.7290185
"3472",48114.1772882383
"3473",41575481.3788094
"3474",7030791.91918105
"3475",119404440.45367
"3476",3974215.53009977
"3477",10119947.5015477
"3478",3811072.57495388
"3479",215742688.058723
"3480",2281729.90967993
"3481",1870842.08180956
"3482",1628404.76435963
"3483",653528.652080291
"3484",1958196.81180159
"3485",86206515.7491804
"3486",79555489.8981018
"3487",38310086.6373036
"3488",41286696.1629941
"3489",2499384.54236382
"3490",16782080.1761011
"3491",12467461.9644496
"3492",4296019.63490136
"3493",12872405.9885191
"3494",3008614.05411541
"3495",43440930.9885578
"3496",3995795.93512422
"3497",48393418.9372451
"3498",5888233.2247352
"3499",11899606.0647082
"3500",990897.719391522
"3501",54226372.499061
"3502",32806770.9611675
"3503",15971570.1423073
"3504",46460433.2997269
"3505",2592944.58768511
"3506",46691438.7711922
"3507",121743574.292994
"3508",13632742.8441243
"3509",2821200.52351926
"3510",14198845.6055897
"3511",18321795.6529757
"3512",149654034.304519
"3513",6873095.82512289
"3514",9637169.81650941
"3515",1042723.36228846
"3516",14822718.2479885
"3517",525003398.028854
"3518",6588666.43790254
"3519",7990005.19775299
"3520",420202.281772043
"3521",166605.454427204
"3522",3976071.75863861
"3523",18382893.2252173
"3524",37258390.0960805
"3525",75051799.1157279
"3526",7574743.55239771
"3527",12901628.8351898
"3528",3021559.94050661
"3529",277018174.137029
"3530",8666033.75730849
"3531",27171933.3261141
"3532",35055399.0169782
"3533",21382363.018179
"3534",21156977.6756499
"3535",154694157.416583
"3536",3155436.88558206
"3537",57415185.4152568
"3538",23788890.3295932
"3539",48423467.3893232
"3540",11977937.1181716
"3541",7293595.62855699
"3542",19865514.8104141
"3543",420420.785669609
"3544",31590392.7128049
"3545",461012.81488023
"3546",6343545.38208787
"3547",81137912.0323218
"3548",207709436.38354
"3549",1610575.62784995
"3550",101296037.812745
"3551",73305679.94529
"3552",10910797.9307396
"3553",16957414.501469
"3554",127669986.240949
"3555",160255440.461238
"3556",25413907.4235162
"3557",6518977.35523767
"3558",161414341.011012
"3559",13883330.7310522
"3560",980253.222168484
"3561",72589666.7544857
"3562",3807685.38433698
"3563",3746645.25139152
"3564",226743.458801216
"3565",2714409.92150526
"3566",33815332.7105355
"3567",6159619.27306277
"3568",4335162.32068033
"3569",74566368.2336719
"3570",654613.786616913
"3571",25019015.9476992
"3572",143952631.181898
"3573",2055729.2931145
"3574",23434286.1745972
"3575",4732422.94674495
"3576",12525485.9222103
"3577",10199918.4044577
"3578",45382478.6815907
"3579",16954382.8025122
"3580",5607146.34384566
"3581",5492739.68927495
"3582",58889239.0943904
"3583",342310.904366683
"3584",17277287.4276841
"3585",34071776.5362899
"3586",8496506.08578964
"3587",2743230.63680617
"3588",786639.457952013
"3589",17824492.5354381
"3590",10268079.2831562
"3591",251978837.216204
"3592",1023442.43235477
"3593",962639.685828517
"3594",38980.6842110611
"3595",3859269.26406777
"3596",12759958.2356718
"3597",2372348.92465663
"3598",23339702.2071211
"3599",3977504.216343
"3600",2829068.67004289
"3601",409110.559615533
"3602",404554.410010483
"3603",5388575.98294759
"3604",3247094.43670886
"3605",15546406.4781773
"3606",889010.399157734
"3607",41243127.1345463
"3608",78002891.2809951
"3609",453898.168482123
"3610",37872501.064555
"3611",301739.49536432
"3612",5291365.16587979
"3613",2537422.07371409
"3614",42570569.3599346
"3615",28657967.7952006
"3616",4293674.14218956
"3617",5746905.39654981
"3618",78708948.8287484
"3619",1915.65490181359
"3620",97744689.0033807
"3621",157871174.354826
"3622",60448709.6640631
"3623",43814381.2543426
"3624",134650.569092137
"3625",2006779.09746164
"3626",10580555.3907247
"3627",14673357.9262686
"3628",254849090.262014
"3629",2645612.90878038
"3630",403642.774995996
"3631",66673370.7206511
"3632",2690658.42303151
"3633",27259049.2979686
"3634",585105.892949429
"3635",3505184.35681874
"3636",13988213.9529433
"3637",795865.191105429
"3638",10089187.2574758
"3639",68796561.0370068
"3640",185732520.81565
"3641",2306759.12252885
"3642",2911820.87708111
"3643",2051913.86500571
"3644",5149003.59467029
"3645",3432861.29038119
"3646",1176073.95437265
"3647",3174418.22585271
"3648",2128434.01373628
"3649",7642439.89340544
"3650",10848475.07554
"3651",401326621.303983
"3652",7083970.42748866
"3653",158446330.379346
"3654",6106494.58260713
"3655",3776610.89655396
"3656",15448866.0664552
"3657",535075.651744751
"3658",503993.06749187
"3659",71997008.9675015
"3660",181409911.989875
"3661",2775165.47519957
"3662",28163952.4365524
"3663",391569045.201664
"3664",100998.02258413
"3665",404718.651923533
"3666",10277186.7235591
"3667",84107353.5886421
"3668",27243200.166582
"3669",2876199.21645984
"3670",29800222.161451
"3671",15913906.104987
"3672",2951873.69165157
"3673",87976386.8594599
"3674",13163329.718858
"3675",213423117.435345
"3676",71142819.478865
"3677",3490218.61418835
"3678",3495390.33436991
"3679",19589549.3130743
"3680",845879.089538608
"3681",6051064.86194139
"3682",103260527.90002
"3683",3993372.41215321
"3684",54036983.4195992
"3685",84317192.6672833
"3686",6095705.75882116
"3687",99238295.2934738
"3688",3105996.41464599
"3689",879767.354739043
"3690",57948934.0113563
"3691",1364835.87747703
"3692",128981.574689535
"3693",124728448.963054
"3694",108999832.175213
"3695",75659738.0339682
"3696",32732636.6298984
"3697",5623798.55622505
"3698",27863063.3043599
"3699",5362103.37698733
"3700",2553959.61651862
"3701",26309392.1971824
"3702",95753.6036275939
"3703",69276304.8744476
"3704",35632320.2397172
"3705",9235202.40096128
"3706",16513605.9171318
"3707",1571662.29821742
"3708",1857499.796811
"3709",190864788.284531
"3710",6706237.72114438
"3711",834691.802591064
"3712",46415927.8114875
"3713",1742493.40903727
"3714",820004.300108757
"3715",13598490.7820879
"3716",687925.419089102
"3717",377286.911936034
"3718",5725880.96102615
"3719",21257824.6729143
"3720",6106833.95789962
"3721",301889.759124002
"3722",25668597.9342935
"3723",512498.007101469
"3724",7375170.06833264
"3725",18012346.5249748
"3726",6211778.26990241
"3727",30123278.8990014
"3728",106018478.730505
"3729",7759465.52748443
"3730",40738037.6424344
"3731",113899813.35936
"3732",942800.894472212
"3733",174948137.44006
"3734",274004354.692666
"3735",6550522.32131113
"3736",5181055.0041206
"3737",7723008.83462903
"3738",516973.232611144
"3739",1944398.41623391
"3740",6454510.13646408
"3741",5761024.41783791
"3742",51403181.8229842
"3743",28884901.6015802
"3744",141766399.399818
"3745",27889152.5818512
"3746",134656264.971298
"3747",102231.42145935
"3748",4042809.2235816
"3749",3174397.48673504
"3750",601814.508094962
"3751",3840915.83440945
"3752",892972.514062646
"3753",3655562.28916452
"3754",12070493.2075928
"3755",49399961.9560215
"3756",7341013.48655071
"3757",200770567.797265
"3758",69413306.2313069
"3759",4170993.46213741
"3760",142611684.122687
"3761",11182135.4623552
"3762",244504498.863846
"3763",16488216.8634235
"3764",18309759.4153384
"3765",1908128.71054868
"3766",1302122.45010136
"3767",7641486.61454251
"3768",3662679.41153577
"3769",300922.395823149
"3770",2553542.4287427
"3771",26438963.9694595
"3772",4826089.76055869
"3773",8692479.18062788
"3774",8155857.87636043
"3775",88244098.1211667
"3776",50262884.2878941
"3777",822707.435562799
"3778",150904.537618149
"3779",12576104.606315
"3780",544671.209642674
"3781",30890841.9651481
"3782",539092.267401695
"3783",21773583.4078913
"3784",1761644.96535876
"3785",217364931.550185
"3786",4080316.31927564
"3787",154149099.425802
"3788",440048127.181427
"3789",6408019.64437376
"3790",112363.648594021
"3791",4524661.48708871
"3792",90589.3551076084
"3793",922127.845113711
"3794",659154.297058277
"3795",249946897.382956
"3796",3718449.14122294
"3797",5662396.64939795
"3798",15836442.476351
"3799",2956168.55484669
"3800",628691.550589605
"3801",69104116.2333234
"3802",612248.078465235
"3803",8371082.03227372
"3804",339647.264968019
"3805",259354.051103248
"3806",18665777.3618351
"3807",1554765.45086551
"3808",302657.661358209
"3809",10161509.9569175
"3810",3046594.0431161
"3811",16158159.6719019
"3812",2115912.73324436
"3813",297715.483176107
"3814",561808.699661825
"3815",44269182.4259686
"3816",90956627.6856767
"3817",56337152.0151383
"3818",43449858.7237998
"3819",11630916.7311098
"3820",51974637.5470773
"3821",25365332.0181473
"3822",3697810.52898842
"3823",1792721.10015404
"3824",1333799.05003439
"3825",4911117.16007925
"3826",62911358.9393003
"3827",57371352.8405653
"3828",1097397.00953104
"3829",226135.107568136
"3830",24857876.7276339
"3831",416.069864467418
"3832",135362706.320686
"3833",30783914.6564161
"3834",4223505.0561477
"3835",3518296.37913195
"3836",963658.65233591
"3837",25900391.9202134
"3838",1624769.81799457
"3839",857840.13351423
"3840",23167281.8796968
"3841",2991392.2865002
"3842",2558045.92954049
"3843",15598396.094555
"3844",922856.694448666
"3845",61524.800143333
"3846",298747.200916743
"3847",881108.333407679
"3848",2562823.66204977
"3849",50908744.7844105
"3850",5243144.79155654
"3851",10226412.9727719
"3852",1115757.58852486
"3853",63030510.2865358
"3854",151211.439532256
"3855",1315833.69032255
"3856",8080534.20775864
"3857",242265323.332668
"3858",560610.209386737
"3859",10433758.9379315
"3860",7842416.11477624
"3861",16615604.8469495
"3862",5924635.73520695
"3863",39398453.4720633
"3864",27915785.3418798
"3865",101258421.439148
"3866",4971647.5349167
"3867",30311493.6473737
"3868",3478876.25470877
"3869",47699635.6772459
"3870",61684599.3566486
"3871",371733421.212933
"3872",6274085.47086898
"3873",8711288.12628314
"3874",972952.269004641
"3875",35622089.3099206
"3876",220064.37122293
"3877",15687167.8449462
"3878",129860446.397474
"3879",301939459.164
"3880",6371144.36268162
"3881",44852.4530642141
"3882",838181.659250724
"3883",871517.093126753
"3884",126510734.460457
"3885",1099453.35557757
"3886",15029921.8794398
"3887",6411812.26241497
"3888",3399802.97544415
"3889",1331132.95898381
"3890",85883292.2845801
"3891",3495498.22140647
"3892",5058572.45269646
"3893",178971922.534143
"3894",43403055.722909
"3895",9642905.84908299
"3896",37214356.8364657
"3897",8118480.14247531
"3898",18207805.6767398
"3899",285659354.239341
"3900",18177953.7706461
"3901",179677.464299983
"3902",196013.138889402
"3903",9617271.54946657
"3904",5773584.1902601
"3905",7959233.89386148
"3906",45076594.3038059
"3907",1534946.56914864
"3908",4016572.63311373
"3909",319073.260183519
"3910",10059805.5319671
"3911",506782.263349501
"3912",4717479.96447624
"3913",64712494.6422469
"3914",12449779.2260528
"3915",276497611.609579
"3916",361198.397564811
"3917",4198863.63138875
"3918",1306620.13011611
"3919",48532179.7168974
"3920",18478217.775128
"3921",448795.490320389
"3922",10835873.8582069
"3923",28127699.6536842
"3924",16936111.7654721
"3925",212146069.369485
"3926",4445068.46047217
"3927",57518941.4353862
"3928",59944986.7386758
"3929",40612702.9664715
"3930",460371.547332554
"3931",974157.59718778
"3932",4954776.54958095
"3933",9242304.26854002
"3934",44282608.1491203
"3935",840.236917920697
"3936",1583874.01079241
"3937",106474794.894172
"3938",1683494.31340125
"3939",11181557.8863736
"3940",1847834.01927169
"3941",11682743.9771853
"3942",168857724.947771
"3943",623290784.982083
"3944",12351792.3185538
"3945",14354222.5062539
"3946",1659221.2829585
"3947",37311039.7860996
"3948",4519985.79571395
"3949",5285356.71427735
"3950",902013.947819303
"3951",6201327.36121593
"3952",35117071.7064394
"3953",33057915.9955221
"3954",374899594.199877
"3955",1432033.02067235
"3956",41040470.527798
"3957",3736767.45411926
"3958",901153.948209907
"3959",3572361.59463302
"3960",1212974.46645044
"3961",31195702.954444
"3962",1782349.22513601
"3963",2901306.82069591
"3964",648001574.292168
"3965",45228878.8858685
"3966",1607538.65821784
"3967",254370625.646289
"3968",28590234.936798
"3969",3038599.44338148
"3970",19085812.1728475
"3971",8250285.66602727
"3972",6001673.05940914
"3973",22949072.3882482
"3974",128208.541523246
"3975",98951751.3151844
"3976",42032227.6122883
"3977",63544206.6909905
"3978",131677888.564511
"3979",1827740.73219169
"3980",1022891.13041392
"3981",755580.344279976
"3982",6879197.04181799
"3983",9944863.38119221
"3984",53242244.2740008
"3985",4302308.77240025
"3986",738736429.250921
"3987",21557486.6559867
"3988",2696647.61337533
"3989",10055358.7066099
"3990",9620543.41572622
"3991",1387938.02418899
"3992",1434412.57975258
"3993",1631535.49241692
"3994",32673982.2180527
"3995",21453490.6159654
"3996",28008264.7969268
"3997",7503030.92067583
"3998",72477533.3205771
"3999",3754676.25481102
"4000",20018691.901475
"4001",1442133.8160043
"4002",125307152.305796
"4003",129875.758875319
"4004",47319693.440105
"4005",97921.2648538251
"4006",24411741.2383327
"4007",118096.837257281
"4008",3253549.43636898
"4009",10162638.8778245
"4010",469307.224215587
"4011",6024456.04912818
"4012",153189778.810429
"4013",56140656.6875217
"4014",514115.593548965
"4015",38137110.0968552
"4016",19088831.5317337
"4017",4320505.47367761
"4018",20656706.9980969
"4019",131646697.29297
"4020",2843508.73589516
"4021",62057182.8653777
"4022",13354297.2959922
"4023",174257542.380954
"4024",25703958.4151647
"4025",697577.5944738
"4026",49193713.7745353
"4027",38996316.3975196
"4028",2452731.91045493
"4029",64239.7452029271
"4030",10980347.6218223
"4031",42454246.2687751
"4032",362404.562597312
"4033",175908.41736157
"4034",924682.70723857
"4035",70263262.5478396
"4036",1239171.83513722
"4037",9456827.81452046
"4038",3248397.32275185
"4039",8888259.68453225
"4040",3072378.93013267
"4041",600694.863353772
"4042",39018894.3309417
"4043",2834724.32969055
"4044",43737872.68629
"4045",32940538.9296807
"4046",3937564.2383002
"4047",420134699.788737
"4048",3060938.57509713
"4049",482.280802141014
"4050",806437.880853531
"4051",379630980.999087
"4052",3314874.06308755
"4053",1008899.14087092
"4054",413521.598083794
"4055",1219166.67495618
"4056",2960619.60289016
"4057",29433.2776997801
"4058",6936337.56341032
"4059",3636326.0476289
"4060",55018207.9976771
"4061",134231268.276544
"4062",25039765.5210287
"4063",11468714.9578512
"4064",330547112.916872
"4065",67395844.5743616
"4066",1730773.59005517
"4067",10005358.1102655
"4068",2087944.42743922
"4069",15524157.6525575
"4070",12248363.0082908
"4071",4564981.85826179
"4072",10879406.2617551
"4073",118841842.640532
"4074",19885.4537602097
"4075",18710718.2519776
"4076",12368111.7748417
"4077",221396808.620079
"4078",3335131.5998183
"4079",84245481.3173345
"4080",5243468.31056169
"4081",9639716.13073856
"4082",162306857.052973
"4083",14188854.8696759
"4084",72886.4023500813
"4085",9927604.14271133
"4086",95011903.7102857
"4087",2436803.60587465
"4088",20207714.4767866
"4089",7743474.28262168
"4090",2025030.15405934
"4091",27416644.5274781
"4092",23653150.8271795
"4093",22502070.911838
"4094",7591579.1389299
"4095",111732480.24965
"4096",8840616.96991432
"4097",23809420.3180121
"4098",3421715.621945
"4099",2244943.18788952
"4100",18692900.8106999
"4101",28312186.861339
"4102",1053323.70283929
"4103",39495669.2089756
"4104",1230250.20732003
"4105",138475.013250059
"4106",1271390.14532742
"4107",425012.104395247
"4108",25127752.9176696
"4109",813602.120440674
"4110",11565021.3417387
"4111",3879015.16780936
"4112",8813422.37270446
"4113",1506702.81985098
"4114",58575343.8367586
"4115",2081860.27775477
"4116",5418812.02790016
"4117",2187334.21350032
"4118",9543136.38427436
"4119",20110006.7218754
"4120",666319.991025269
"4121",875827.624279511
"4122",121052187.762935
"4123",2890023.05433082
"4124",32695897.1830949
"4125",6567256.51050896
"4126",2850120.70727387
"4127",2856366.96352887
"4128",11483653.3620337
"4129",428235.695792454
"4130",713061.61843251
"4131",74830342.9561552
"4132",75577527.3208518
"4133",26937207.3402031
"4134",4039528.52826928
"4135",15836373.9623252
"4136",343073641.110745
"4137",3439457.0198701
"4138",19170888.4701957
"4139",3702997.6130806
"4140",1714191.96242496
"4141",3335119.22817097
"4142",23520498.749653
"4143",27336357.0385835
"4144",1699276.22583897
"4145",5378754.10339779
"4146",2619271.02939159
"4147",358273.18319184
"4148",4978212.05293839
"4149",5831652.73854829
"4150",259059.191469002
"4151",805129.025127158
"4152",17136200.4918654
"4153",16872881.3312067
"4154",1230594.45441601
"4155",2741120.36422708
"4156",1902163.63105332
"4157",2101571.36451274
"4158",3762581.80462313
"4159",30824301.433157
"4160",175098057.122483
"4161",7062930.56552959
"4162",16745006.8574086
"4163",100598972.110137
"4164",6251107.43821279
"4165",3114715.85836002
"4166",1893850.23555063
"4167",11345705.0687855
"4168",974962.772490425
"4169",862464.013291703
"4170",1927982.89293728
"4171",96105300.730051
"4172",44039449.6226139
"4173",1348341.80482641
"4174",1805172.19544393
"4175",1860255.86793373
"4176",9931663.50806016
"4177",106784.779058824
"4178",289574852.328853
"4179",1288361.85951376
"4180",81508649.1271091
"4181",20467823.6467033
"4182",1286537.562461
"4183",55650751.2052319
"4184",8539923.27511991
"4185",824342.189001957
"4186",2101326.89743277
"4187",1514679.42365576
"4188",7567228.49018789
"4189",169409.997374124
"4190",117657.340487301
"4191",1227451.24528439
"4192",77521.7650764818
"4193",162427080.413619
"4194",86210624.1612389
"4195",9733711.21512312
